chunk_id,strategy,paragraph_ids,text,word_count
overlap_001,overlap,"[1, 2]","A UIUC junior in engineering offers personalized tutoring in calculus and linear algebra for students taking introductory and intermediate math courses. Sessions are designed around the student's syllabus, homework set, and exam schedule, with extra practice on topics such as derivatives, integration techniques, vector spaces, matrices, determinants, and eigenvalues. The tutor focuses on explaining why methods work instead of only showing formulas, so students can solve unfamiliar problems independently. Meetings can be held at Grainger, the Main Library, or over Zoom, and review packets can be created before midterms. This service is especially useful for students who want structured weekly support, last-minute exam preparation, or patient help working through difficult lecture material. A UIUC computer science student provides one-on-one programming tutoring for beginners learning Python or Java. The service helps students understand syntax, debugging, loops, functions, arrays, object-oriented programming, and common assignment patterns used in introductory CS courses. Sessions typically include a short concept review, guided coding practice, and time for debugging class projects or homework submissions. The tutor can also explain how to read compiler errors, write cleaner code, and prepare for coding quizzes and technical interviews. Meetings are available online or in campus study spaces, and students can book single sessions or recurring weekly help. This listing is ideal for anyone who feels stuck in class and wants practical explanations with step-by-step examples.",225
overlap_002,overlap,"[2, 3]","A UIUC computer science student provides one-on-one programming tutoring for beginners learning Python or Java. The service helps students understand syntax, debugging, loops, functions, arrays, object-oriented programming, and common assignment patterns used in introductory CS courses. Sessions typically include a short concept review, guided coding practice, and time for debugging class projects or homework submissions. The tutor can also explain how to read compiler errors, write cleaner code, and prepare for coding quizzes and technical interviews. Meetings are available online or in campus study spaces, and students can book single sessions or recurring weekly help. This listing is ideal for anyone who feels stuck in class and wants practical explanations with step-by-step examples. A pre-med student offers tutoring for general chemistry, organic chemistry foundations, and introductory biology courses at UIUC. Sessions focus on lecture review, reaction patterns, problem solving, vocabulary retention, and test-taking strategies for science-heavy exams. Students can bring lecture slides, worksheets, and practice tests, and the tutor will help organize the material into manageable study goals. Support is available for understanding mechanisms, cellular processes, lab concepts, and multiple-choice reasoning. The tutor emphasizes consistency by creating weekly study plans that fit around classes and club commitments. Appointments can be scheduled before major exams or used throughout the semester. This service works well for students who want accountability, clearer explanations, and extra confidence before quizzes and midterms.",227
overlap_003,overlap,"[3, 4]","A pre-med student offers tutoring for general chemistry, organic chemistry foundations, and introductory biology courses at UIUC. Sessions focus on lecture review, reaction patterns, problem solving, vocabulary retention, and test-taking strategies for science-heavy exams. Students can bring lecture slides, worksheets, and practice tests, and the tutor will help organize the material into manageable study goals. Support is available for understanding mechanisms, cellular processes, lab concepts, and multiple-choice reasoning. The tutor emphasizes consistency by creating weekly study plans that fit around classes and club commitments. Appointments can be scheduled before major exams or used throughout the semester. This service works well for students who want accountability, clearer explanations, and extra confidence before quizzes and midterms. A student photographer offers graduation photo sessions around popular UIUC landmarks including the Quad, Alma Mater, Foellinger Auditorium, and the Main Library steps. Each session includes pose guidance, candid shots, solo portraits, and small group photos with friends or family. Clients can bring multiple outfits, cap and gown accessories, champagne props, or cultural stoles to customize the shoot. Edited high-resolution images are delivered in an online gallery within seven days, with color correction and light retouching included. The photographer aims to capture both polished portraits and natural celebratory moments that feel personal to the graduate's UIUC experience. This service is ideal for seniors who want professional-looking photos without booking a large studio package.",227
overlap_004,overlap,"[4, 5]","A student photographer offers graduation photo sessions around popular UIUC landmarks including the Quad, Alma Mater, Foellinger Auditorium, and the Main Library steps. Each session includes pose guidance, candid shots, solo portraits, and small group photos with friends or family. Clients can bring multiple outfits, cap and gown accessories, champagne props, or cultural stoles to customize the shoot. Edited high-resolution images are delivered in an online gallery within seven days, with color correction and light retouching included. The photographer aims to capture both polished portraits and natural celebratory moments that feel personal to the graduate's UIUC experience. This service is ideal for seniors who want professional-looking photos without booking a large studio package. A UIUC student photographer provides event coverage for registered student organizations, birthday celebrations, cultural performances, and campus socials. The service includes candid coverage, posed group photos, speaker highlights, and crowd atmosphere images that organizers can later use for recap posts, recruitment, and memory books. The photographer is comfortable working in indoor and low-light environments and brings equipment suited for fast-moving events. After the event, clients receive a curated digital album with edited images and clear file organization for easy sharing. Pricing depends on event duration and expected photo volume, and longer bookings can include same-week turnaround for promotional needs. This listing is a good fit for clubs and student groups that want reliable visual coverage without hiring a commercial team.",233
overlap_005,overlap,"[5, 6]","A UIUC student photographer provides event coverage for registered student organizations, birthday celebrations, cultural performances, and campus socials. The service includes candid coverage, posed group photos, speaker highlights, and crowd atmosphere images that organizers can later use for recap posts, recruitment, and memory books. The photographer is comfortable working in indoor and low-light environments and brings equipment suited for fast-moving events. After the event, clients receive a curated digital album with edited images and clear file organization for easy sharing. Pricing depends on event duration and expected photo volume, and longer bookings can include same-week turnaround for promotional needs. This listing is a good fit for clubs and student groups that want reliable visual coverage without hiring a commercial team. A student hairstylist offers hair styling appointments for formals, graduation shoots, birthdays, and other special occasions. Popular styles include soft curls, straightened looks, braided accents, ponytails, and half-up designs suited for different hair lengths and textures. Before the appointment, clients can send inspiration photos and discuss timing, hair preparation, and the overall look they want to match with their outfit or makeup. The stylist works from a clean apartment setup near campus and sanitizes tools between clients. Appointments generally last between forty-five minutes and ninety minutes depending on complexity. This service is ideal for students who want polished event hair at a more affordable price than a salon while still receiving individualized attention and styling recommendations.",236
overlap_006,overlap,"[6, 7]","A student hairstylist offers hair styling appointments for formals, graduation shoots, birthdays, and other special occasions. Popular styles include soft curls, straightened looks, braided accents, ponytails, and half-up designs suited for different hair lengths and textures. Before the appointment, clients can send inspiration photos and discuss timing, hair preparation, and the overall look they want to match with their outfit or makeup. The stylist works from a clean apartment setup near campus and sanitizes tools between clients. Appointments generally last between forty-five minutes and ninety minutes depending on complexity. This service is ideal for students who want polished event hair at a more affordable price than a salon while still receiving individualized attention and styling recommendations. A UIUC student nail artist offers gel manicures, press-on sizing, simple acrylic sets, and custom nail art for students preparing for events or simply wanting a new set for the week. Clients can choose from minimalist styles, chrome finishes, seasonal designs, or character-inspired ideas, and reference photos are welcome before booking. Appointments include shaping, cuticle care, color application, and finishing details, with extra time added for complex artwork. The artist uses sanitized tools and quality products chosen for durability and shine. Sessions are completed in a home studio environment near campus with flexible evening and weekend availability. This service is a good choice for students looking for creative, personalized nails without traveling off campus.",230
overlap_007,overlap,"[7, 8]","A UIUC student nail artist offers gel manicures, press-on sizing, simple acrylic sets, and custom nail art for students preparing for events or simply wanting a new set for the week. Clients can choose from minimalist styles, chrome finishes, seasonal designs, or character-inspired ideas, and reference photos are welcome before booking. Appointments include shaping, cuticle care, color application, and finishing details, with extra time added for complex artwork. The artist uses sanitized tools and quality products chosen for durability and shine. Sessions are completed in a home studio environment near campus with flexible evening and weekend availability. This service is a good choice for students looking for creative, personalized nails without traveling off campus. A student makeup artist provides makeup appointments for formals, graduation portraits, date nights, cultural events, and themed celebrations. Services can range from soft natural glam to full evening looks with lashes, contour, highlight, and long-wear setting products. Clients are encouraged to share inspiration photos, skin concerns, and preferred coverage beforehand so the final look fits both the occasion and personal comfort level. The artist uses sanitized brushes and professional products selected for camera-friendly wear and extended staying power. Appointments are available near campus, and timing can be adjusted for early events or photography sessions. This listing is especially useful for students who want a polished finish, color matching help, and a makeup look that lasts through photos and activities.",233
overlap_008,overlap,"[8, 9]","A student makeup artist provides makeup appointments for formals, graduation portraits, date nights, cultural events, and themed celebrations. Services can range from soft natural glam to full evening looks with lashes, contour, highlight, and long-wear setting products. Clients are encouraged to share inspiration photos, skin concerns, and preferred coverage beforehand so the final look fits both the occasion and personal comfort level. The artist uses sanitized brushes and professional products selected for camera-friendly wear and extended staying power. Appointments are available near campus, and timing can be adjusted for early events or photography sessions. This listing is especially useful for students who want a polished finish, color matching help, and a makeup look that lasts through photos and activities. A UIUC student offers dependable pet sitting for cats, dogs, rabbits, and other small companion animals while owners are traveling, studying for exams, or managing a busy week. Services include feeding, water refresh, walks or playtime, litter or crate checks, and regular updates with photos so owners know their pets are comfortable. Care instructions are followed closely, including medicine reminders or special routines for shy animals. Depending on the pet and arrangement, the sitter can either make home visits or discuss short-term boarding for smaller animals. Availability is strongest during weekends, breaks, and evening hours. This service is ideal for students and local residents who want attentive care from someone familiar with campus-area schedules and apartments.",235
overlap_009,overlap,"[9, 10]","A UIUC student offers dependable pet sitting for cats, dogs, rabbits, and other small companion animals while owners are traveling, studying for exams, or managing a busy week. Services include feeding, water refresh, walks or playtime, litter or crate checks, and regular updates with photos so owners know their pets are comfortable. Care instructions are followed closely, including medicine reminders or special routines for shy animals. Depending on the pet and arrangement, the sitter can either make home visits or discuss short-term boarding for smaller animals. Availability is strongest during weekends, breaks, and evening hours. This service is ideal for students and local residents who want attentive care from someone familiar with campus-area schedules and apartments. A student dog walker provides short and extended walks for campus-area pet owners who need help during class, work, or travel days. Walks are tailored to the dog's age, size, and energy level, and the walker can reinforce simple commands such as sit, wait, and leash manners during the outing. Owners receive a quick update after each visit covering distance, behavior, water refill, and any concerns noticed along the route. Recurring weekly slots are available, which is helpful for graduate students and staff with fixed schedules. The walker is comfortable with high-energy dogs as well as senior pets that need gentler pacing. This listing works well for owners who want consistent exercise support and reliable midday care.",233
overlap_010,overlap,"[10, 11]","A student dog walker provides short and extended walks for campus-area pet owners who need help during class, work, or travel days. Walks are tailored to the dog's age, size, and energy level, and the walker can reinforce simple commands such as sit, wait, and leash manners during the outing. Owners receive a quick update after each visit covering distance, behavior, water refill, and any concerns noticed along the route. Recurring weekly slots are available, which is helpful for graduate students and staff with fixed schedules. The walker is comfortable with high-energy dogs as well as senior pets that need gentler pacing. This listing works well for owners who want consistent exercise support and reliable midday care. A UIUC student with internship recruiting experience offers resume reviews, LinkedIn feedback, and interview preparation for students applying to internships, campus jobs, and entry-level roles. Sessions focus on organizing experience clearly, strengthening bullet points with measurable results, and tailoring application materials to specific industries. The coach can also help with elevator pitches, behavioral interview questions, and general recruiting timelines for tech, consulting, business, and research opportunities. Clients may send documents in advance for written comments before the live session begins. Meetings are held virtually or in quiet campus locations, and follow-up notes are included after each appointment. This service is ideal for students who want practical application advice from someone recently familiar with the recruiting process.",233
